"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RBMS3",0,0.267112182884816,0.445,0.224,0,4,"RBMS3"
"BRD7",0,0.267072393048344,0.88,0.816,0,4,"BRD7"
"OSGEPL1",0,0.267031421509143,0.347,0.122,0,4,"OSGEPL1"
"SMIM37",0,0.26703040147478,0.973,0.96,0,4,"SMIM37"
"TBC1D10B",0,0.267019490801834,0.571,0.332,0,4,"TBC1D10B"
"ANAPC5",0,0.266811846507921,0.861,0.77,0,4,"ANAPC5"
"CERS6",0,0.266804823425248,0.426,0.198,0,4,"CERS6"
"P3H1",0,0.266661643437608,0.509,0.281,0,4,"P3H1"
"CNP",0,0.266555275305923,0.666,0.491,0,4,"CNP"
"BANF1",0,0.266387940161859,0.998,0.992,0,4,"BANF1"
"TSPAN41",0,0.266064680282693,0.898,0.853,0,4,"TSPAN4"
"EMC8",0,0.266015096303612,0.874,0.813,0,4,"EMC8"
"ACAT1",0,0.265983804697298,0.685,0.54,0,4,"ACAT1"
"AKT3",0,0.265800557566163,0.581,0.357,0,4,"AKT3"
"LSM11",0,0.265562218449074,0.315,0.099,0,4,"LSM11"
"TTLL7",0,0.265433049329575,0.274,0.072,0,4,"TTLL7"
"POLR2I",0,0.265418262998649,0.995,0.986,0,4,"POLR2I"
"ZCRB1",0,0.264937129368115,0.973,0.952,0,4,"ZCRB1"
"ADCK2",0,0.264935150380604,0.328,0.105,0,4,"ADCK2"
"COA1",0,0.264888564244387,0.833,0.75,0,4,"COA1"
"SMARCC1",0,0.264751234068884,0.825,0.759,0,4,"SMARCC1"
"TMEM175",0,0.264632814417613,0.32,0.099,0,4,"TMEM175"
"BZW21",0,0.264552219162748,0.917,0.866,0,4,"BZW2"
"FKBP3",0,0.264540613954761,0.958,0.934,0,4,"FKBP3"
"DLST",0,0.26451752995347,0.71,0.578,0,4,"DLST"
"POLH",0,0.264291177349375,0.292,0.082,0,4,"POLH"
"PTER",0,0.264266207245041,0.382,0.164,0,4,"PTER"
"CSTF2",0,0.264152384334748,0.502,0.274,0,4,"CSTF2"
"ZDHHC6",0,0.264122650644447,0.592,0.36,0,4,"ZDHHC6"
"EXT12",0,0.264040747776899,0.846,0.792,0,4,"EXT1"
"MPC21",0,0.26396361059993,0.995,0.99,0,4,"MPC2"
"PKNOX1",0,0.263887041796342,0.557,0.334,0,4,"PKNOX1"
"TMEM245",0,0.263795411724603,0.525,0.28,0,4,"TMEM245"
"LY6E",0,0.263558622127696,0.952,0.918,0,4,"LY6E"
"NOM1",0,0.263446588927557,0.605,0.398,0,4,"NOM1"
"BBS7",0,0.263052761948721,0.519,0.283,0,4,"BBS7"
"RNASEH1",0,0.263050951063421,0.913,0.873,0,4,"RNASEH1"
"CDK2AP1",0,0.262879445488931,0.395,0.184,0,4,"CDK2AP1"
"CDR2L",0,0.262803721772869,0.395,0.179,0,4,"CDR2L"
"EDRF1",0,0.262398045535216,0.46,0.222,0,4,"EDRF1"
"SCD5",0,0.262240519058076,0.292,0.085,0,4,"SCD5"
"PRDX21",0,0.262165726962252,0.942,0.928,0,4,"PRDX2"
"ARMC6",0,0.262147806325331,0.542,0.313,0,4,"ARMC6"
"PHRF1",0,0.261913551719433,0.505,0.272,0,4,"PHRF1"
"PRICKLE12",0,0.261727551136473,0.427,0.217,0,4,"PRICKLE1"
"NXT1",0,0.261280057038065,0.894,0.803,0,4,"NXT1"
"NOLC12",0,0.261157192146785,0.9,0.858,0,4,"NOLC1"
"TPST11",0,0.261010576973254,0.617,0.448,0,4,"TPST1"
"PIN1",0,0.260918282679339,0.921,0.879,0,4,"PIN1"
"GLI2",0,0.260862010511017,0.307,0.103,0,4,"GLI2"
"SMAD9",0,0.260812985464528,0.339,0.137,0,4,"SMAD9"
"TP53I13",0,0.260711831450299,0.705,0.601,0,4,"TP53I13"
"DBR1",0,0.260587528510356,0.425,0.194,0,4,"DBR1"
"ING5",0,0.260489962981941,0.485,0.244,0,4,"ING5"
"FAHD2A",0,0.260329392679695,0.45,0.223,0,4,"FAHD2A"
"HOXA7",0,0.260173988280927,0.432,0.211,0,4,"HOXA7"
"FH",0,0.26006889474417,0.816,0.751,0,4,"FH"
"KCTD9",0,0.260007901679504,0.559,0.331,0,4,"KCTD9"
"EXO5",0,0.259941653880544,0.299,0.089,0,4,"EXO5"
"LAMC2",0,0.259803257014427,0.266,0.079,0,4,"LAMC2"
"PARVA1",0,0.2598002752571,0.901,0.856,0,4,"PARVA"
"SCMH1",0,0.259782207549279,0.344,0.126,0,4,"SCMH1"
"NDUFA6",0,0.259740000583704,0.994,0.988,0,4,"NDUFA6"
"ANKMY2",0,0.259686097192787,0.346,0.131,0,4,"ANKMY2"
"MRPL14",0,0.259638353929632,0.996,0.991,0,4,"MRPL14"
"ARL5A",0,0.259632692182417,0.497,0.277,0,4,"ARL5A"
"RNF126",0,0.259537284826197,0.841,0.764,0,4,"RNF126"
"VARS2",0,0.259486080893059,0.352,0.133,0,4,"VARS2"
"FARSB",0,0.259411027352223,0.746,0.634,0,4,"FARSB"
